GEO/PHYSACT,Walking to get to and from place,Cycling to get to and from place,Aerobic sports,Muscle-strengthening,Gender,Age
Germany (until 1990 former territory of the FRG),78.1,33.2,69.7,46.3,female,60
Estonia,85.6,21.0,27.7,5.4,female,60
Ireland,87.4,7.7,33.9,26.5,female,60
Greece,83.4,3.2,15.3,6.6,female,60
Spain,82.9,3.7,38.6,8.7,female,60
France,80.1,13.1,51.9,21.5,female,60
Croatia,89.1,21.5,14.3,5.2,female,60
Italy,76.4,13.7,20.2,8.6,female,60
Cyprus,19.4,0.6,36.5,2.5,female,60
Latvia,93.0,18.7,35.4,9.9,female,60
Lithuania,83.0,15.8,14.4,6.5,female,60
Luxembourg,89.6,11.5,63.7,32.8,female,60
Hungary,84.9,39.6,24.5,14.8,female,60
Malta,81.0,0.8,55.0,2.5,female,60
Austria,84.7,27.0,75.9,44.6,female,60
Poland,88.9,26.5,14.4,1.6,female,60
Portugal,64.6,2.6,29.3,5.9,female,60
Romania,99.5,3.3,0.5,0.1,female,60
Slovenia,87.5,24.3,48.1,34.0,female,60
Slovakia,91.8,29.4,20.7,7.6,female,60
Finland,88.4,24.3,75.4,49.9,female,60
Sweden,83.8,33.6,74.1,50.4,female,60
United Kingdom,63.8,4.5,53.4,22.1,female,60
Iceland,54.4,12.1,72.2,53.3,female,60
Norway,64.0,26.7,70.5,25.1,female,60
Turkey,65.1,0.3,3.0,1.0,female,60
Belgium,0,0,0,0,female,70
Bulgaria,88.2,1.3,0.7,1.5,female,70
Czech Republic,92.0,21.7,12.6,5.6,female,70
Denmark,82.6,45.6,79.8,52.4,female,70
Germany (until 1990 former territory of the FRG),82.6,30.9,66.0,47.0,female,70
Estonia,81.5,17.4,18.5,4.8,female,70
Ireland,88.0,5.6,24.4,17.5,female,70
Greece,72.3,1.9,6.4,5.4,female,70
Spain,81.9,2.2,38.8,9.1,female,70
France,79.8,10.8,43.1,16.9,female,70
Croatia,83.6,12.0,10.6,3.8,female,70
Italy,72.5,12.3,13.5,6.0,female,70
Cyprus,20.0,0,35.8,1.8,female,70
Latvia,89.6,10.2,25.4,6.4,female,70
Lithuania,77.2,10.6,11.7,6.9,female,70
Luxembourg,86.9,7.0,53.8,25.8,female,70
Hungary,80.8,28.0,17.8,11.2,female,70
Malta,79.4,0.5,47.6,1.3,female,70
Austria,84.3,24.0,67.8,43.1,female,70
Poland,80.6,16.7,10.6,0.3,female,70
Portugal,60.9,2.3,22.2,5.8,female,70
Romania,97.8,1.9,0.3,0.1,female,70
Slovenia,79.2,22.3,38.4,29.2,female,70
Slovakia,88.6,20.3,14.0,4.7,female,70
Finland,86.3,27.2,67.5,45.3,female,70
Sweden,85.5,32.4,67.9,48.0,female,70
United Kingdom,68.3,2.0,51.1,18.7,female,70
Iceland,49.3,3.7,63.1,46.1,female,70
Norway,69.8,19.1,63.8,19.5,female,70
Turkey,51.3,0.2,1.8,0.4,female,70
